PC,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,Forbs,Grasses,Mix,CTL,Tap,Forbs_1,Forbs_2,Forbs_3,Forbs_4,Forbs_5,Forbs_6,Forbs_7,Forbs_8,Forbs_9,Forbs_10,Grasses_1,Grasses_2,Grasses_3,Grasses_4,Grasses_5,Grasses_6,Grasses_7,Grasses_8,Grasses_9,Grasses_10,CTL_1,CTL_2,CTL_3,CTL_4,CTL_5,CTL_6,CTL_7,CTL_8,CTL_9,CTL_10,Tap_1,Tap_2,Tap_3,Tap_4,Tap_5
69,557.2814353,557.2803166,557.2823365,654.4592376,654.020148,654.8555932,34,10,10,4,10,0,100404.1292,308433.0451,185240.5202,147226.736,67932.3216,219140.5657,145408.432,250645.3036,145070.5045,284079.0288,126437.7909,68853.083,99949.81725,115939.5212,77348.3568,74491.21617,80102.38091,154617.0065,127491.1436,131145.067,192839.8391,158302.7846,318396.7565,130003.8846,199626.4668,213817.3727,299734.1337,173604.0136,219552.6273,311537.3322,NA,NA,NA,NA,NA
70,415.1033798,415.1025127,415.1038725,844.5244385,844.2325077,844.8452227,21,9,8,4,0,0,469544.0072,NA,118128.0672,129758.8663,213751.3625,97246.52922,69837.18835,167336.7696,99869.09948,37527.44009,165263.0495,296913.3832,NA,301436.6784,268492.9104,344613.5997,112463.4155,240057.7552,NA,142219.3344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,397.1173329,397.1163764,397.1185409,777.6520174,770.7763771,778.1733749,53,9,10,4,7,0,370813.8776,198355.9223,148296.019,NA,208700.6064,103307.1971,139276.0512,463502.3344,214024.7413,86408.1504,183895.9878,352398.8969,119930.6574,146416.0392,230065.6849,291167.6047,82246.97038,156509.2711,310884.4724,114089.5555,36742.65876,127105.1209,72284.784,65042.14543,82139.89495,NA,245356.471,NA,NA,67615.38762,NA,NA,NA,NA,NA
72,212.1290994,212.1284855,212.1295778,698.3039851,697.9015418,698.6213121,39,10,10,4,10,5,76558.7965,57124.67273,54717.925,88353.76661,73139.798,79334.01357,79501.5936,50300.15909,62226.41167,57496.46383,74187.67273,78492.44452,108451.5807,89444.8487,85980.76157,72634.848,87359.56275,74243.0821,79598.28724,66721.03324,80085.65965,101517.6223,66993.89545,88850.64152,94347.0287,137579.22,74434.909,94022.176,70781.03617,72102.2599,120085.4747,120664.2518,313765.8633,131554.906,143645.6736
73,133.0869176,133.0863746,133.0873134,667.9422014,667.5434231,668.1928478,10,1,7,2,0,0,9499.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,3299.661714,14043.08278,8133.351083,NA,NA,10838.64162,NA,7701.408,2333.371429,1116.872923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,621.2800244,621.2744733,621.2811211,798.290086,798.0121859,806.3593172,35,10,10,4,10,0,97967.15333,170778.9409,118842.7496,78733.45909,43664.39545,96762.68922,98569.10943,153265.5696,199390.0842,302930.7762,54447.85455,41368.18,75827.76275,40644.10367,28454.0256,75468.3072,48106.38181,86089.98052,115024.5037,96139.2432,159641.297,167177.0039,158556.0722,148284.5332,229873.9872,126122.0948,305412.6821,106345.9087,278628.2928,270486.216,NA,NA,NA,NA,NA
75,455.2131569,455.212044,455.2141491,590.6323543,590.1657776,590.9859772,33,9,10,4,10,0,24654.80381,78120.5568,29647.53886,15839.21364,12001.60421,23301.94695,29782.06233,40963.6656,21207.15789,NA,14620.082,18279.01114,33324.246,18492.47562,15023.68852,20999.30667,10803.29684,21792.87245,33457.63952,25017.9072,21909.2016,25768.0753,43908.4759,20232.42033,45979.48876,24701.94987,32158.69895,33803.8272,21480.888,41043.9744,NA,NA,NA,NA,NA
76,312.9957402,312.9942397,312.9967596,535.5391705,535.2179684,536.300525,11,5,2,2,2,0,9921.157826,NA,2165.805,805.1993333,NA,NA,NA,3914.106222,5524.1472,NA,NA,NA,NA,NA,NA,6694.859294,NA,NA,8172.529053,NA,NA,NA,NA,1120.277333,NA,963.0192,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,513.3181392,513.316933,513.3193904,891.2069576,890.8379037,891.4565217,30,10,9,4,7,0,410475.2438,198669.3782,186370.833,164994.5066,141095.7843,231367.9018,86137.42237,192388.9968,186747.6504,117812.4282,82536.37723,28114.17965,35677.6992,67237.23333,88131.09823,58971.11936,NA,100665.824,37645.80214,65668.47531,39183.63854,NA,72628.37467,25093.33408,26014.66331,41649.64044,37715.49939,NA,43771.0416,NA,NA,NA,NA,NA,NA
78,116.9282689,116.9279237,116.9285175,1072.191492,1064.712992,1080.899222,46,5,8,2,5,2,NA,NA,57426.2832,NA,72503.98748,60806.98565,NA,88394.55747,NA,59019.30245,73066.84091,82387.78104,NA,153216.7458,119712.9648,45891.3312,NA,75181.28283,75276.21964,12409.054,70492.01019,NA,31185.8976,NA,NA,NA,84775.53552,77740.2912,112406.5436,NA,NA,65790.4165,74909.16533,NA,NA
