SampleID,Species,Treatment,Replicate,F700,F735,Chl50,SFW,LFW,SDW,LDW,LA,SLA,SDMC,LDMC,Nleaf,Cleaf,CNleaf,Nshoot,Cshoot,CNshoot,Nroot,Croot,CNroot,RDWns,RDWs,RDW,PDW,SMF,RMF,Nuptake,TRLs,TPSAs,TSAs,TRVs,SRL,SRA,RTD,TRL,TSA,TRV,RLD,RSD,D
44,Fr,Grasses,4,609,711,416,1.7834,0.3070,0.47298,0.09373,11.6482,124.2739784,26.52065671,30.52995016,1.67,43.85,26.2781,,,,0.989169,47.396519,47.91549169,0.16763,0.01769,0.18532,0.6583,0.718487012,0.281512988,0.009731894,1662.87839,19.74681193,62.0390412,0.20100458,94001.03955,3507.011939,0.088007945,17420.27265,649.9194525,2.105718981,9.54012741,0.35592522,0.118750788
45,Fr,Grasses,5,729,900,398,1.6329,0.3403,0.40692,0.10235,12.0697,117.925745,24.92038607,30.07993887,1.69,44.15,26.0589,,,,0.857236,46.755692,54.54238039,0.19745,0.01887,0.21632,0.62324,0.652910596,0.347089404,0.008731321,1638.112612,20.3703684,63.99962355,0.271149246,86810.41926,3391.606971,0.06959267,18778.8299,733.67242,3.108373338,10.28413466,0.401792125,0.124352674
46,Fr,Grasses,6,519,689,469,1.6018,0.2663,0.39652,0.07303,9.1117,124.7665343,24.75511465,27.42086885,1.78,43.87,24.6415,,,,0.915307,47.607338,52.01242643,0.24139,0.02011,0.2615,0.65802,0.602595666,0.397404334,0.009451584,1599.608993,19.70234583,61.90269257,0.21262468,79542.96335,3078.204504,0.094579801,20800.48492,804.9504777,2.764860956,11.39128418,0.440827206,0.123169762
47,Fr,Grasses,7,447,603,460,1.3335,0.1586,0.31001,0.04006,6.1946,154.6330504,23.24854139,25.26010467,2.42,43.91,18.144,,,,0.95326,47.556496,49.88827392,0.13451,0.0205,0.15501,0.46502,0.666659499,0.333340501,0.00897989,1566.182103,20.3052787,63.79469018,0.232737943,76399.12697,3111.936106,0.088081899,11842.62867,482.3812158,1.759839441,6.48555787,0.264173722,0.129648262
48,Fr,Grasses,8,762,1051,435,1.0215,0.3222,0.2438,0.08492,10.8086,127.2797927,23.86592791,26.35957288,2.12,43.76,20.6299,,,,1.024304,47.286434,46.16445313,0.07043,0.01656,0.08699,0.33079,0.737023489,0.262976511,0.006059602,1624.873539,18.70148027,58.75534139,0.190330272,98120.38279,3548.027862,0.087006653,8535.492099,308.6429437,0.999808597,4.674420646,0.169026804,0.115094989
49,Fr,Grasses,9,482,610,423,1.2587,0.1325,0.29587,0.03388,5.4961,162.2225502,23.50525128,25.57753284,2.63,43.58,16.593,,,,0.922005,47.319315,51.32218914,0.10643,0.01575,0.12218,0.41805,0.707738309,0.292261691,0.008907887,1413.990249,18.12788677,56.95530031,0.208582149,89777.15863,3616.209543,0.075509817,10968.97324,441.828482,1.618067744,6.007104733,0.241965215,0.128203761
50,Fr,Grasses,10,735,876,422,2.5016,0.7925,0.55543,0.19455,24.515,126.0087381,22.20263507,24.54858614,1.75,43.22,24.6362,,,,0.998127,47.44846,47.53749773,0.15847,0.02171,0.18018,0.73561,0.755060426,0.244939574,0.01151845,1595.85606,23.0427898,72.39823984,0.306467766,73507.87933,3334.787648,0.070839424,13244.6497,600.8620384,2.543498944,7.253367852,0.329059167,0.144391405
51,Fr,Soil,1,1218,1330,419,1.1608,0.3493,0.29056,0.09857,12.715,128.9946231,25.03122873,28.21606458,1.94,43.09,22.2328,,,,0.891371,47.160664,52.908008,0.19101,0.01854,0.20955,0.50011,0.580992182,0.419007818,0.007504732,1554.411455,19.25636441,60.49883995,0.221178429,83840.96307,3263.152101,0.083823726,17568.87381,683.7935227,2.499888878,9.621508112,0.37447619,0.123882028
52,Fr,Soil,2,602,782,418,1.3164,0.3568,0.32677,0.10286,12.8696,125.1176356,24.82337927,28.83251577,1.69,43.33,25.5824,,,,0.907414,47.253098,52.07446436,0.14787,0.02145,0.16932,0.49609,0.658690963,0.341309037,0.007058846,1522.305969,20.18088925,63.40646653,0.251581871,70969.97522,2956.012426,0.085260515,12016.6362,500.5120239,1.985913398,6.580852248,0.27410297,0.132567892
53,Fr,Soil,3,696,997,467,1.5468,0.3498,0.35961,0.09229,12.0705,130.7888179,23.24939389,26.3836478,2.15,43.57,20.2861,,,,0.981752,47.513748,48.39689453,0.16517,0.01984,0.18501,0.54462,0.660295252,0.339704748,0.009547954,1656.926788,21.87468829,68.72714892,0.248285966,83514.45503,3464.070006,0.079907859,15451.00933,640.8875918,2.315291662,8.461669948,0.350978966,0.132019643
54,Fr,Soil,4,1797,2447,522,2.1192,0.8612,0.45246,0.20069,30.3463,151.2098261,21.35010664,23.30407116,2.805,43.785,15.5963,,,,1.082922,47.3069,43.68449436,0.15898,0.01802,0.177,0.62946,0.718806596,0.281193404,0.014608275,1566.8037,21.95874643,68.99519661,0.28826424,86948.04104,3828.812243,0.06251209,15389.80326,677.6997669,2.831452302,8.428150747,0.371138974,0.140149953
55,Fr,Soil,5,567,672,403,1.5255,0.3230,0.41646,0.09688,11.5652,119.3765483,27.30043855,29.99287948,1.32,43.45,32.8683,,,,0.802713,47.14925,58.7373694,0.2052,0.01806,0.22326,0.63972,0.651003564,0.348996436,0.007289409,1140.162853,14.90338255,46.82346227,0.190484449,63131.94094,2592.661255,0.094810889,14094.83713,578.8375518,2.354792806,7.718968857,0.316997564,0.130712753
56,Fr,Soil,6,318,334,385,1.8077,0.3543,0.48524,0.10416,11.6188,111.547619,26.84250414,29.39715511,1.53,43.89,28.7124,,,,0.863914,47.220665,54.65898805,0.19151,0.03234,0.22385,0.70909,0.684313698,0.315686302,0.009358043,1505.645185,23.02515133,72.34211487,0.368024475,46556.74661,2236.923775,0.08787459,10421.72773,500.7353869,2.547380295,5.707408394,0.274225294,0.15292548
57,Fr,Soil,7,879,1127,436,0.8568,0.2866,0.23705,0.08847,9.1708,103.6599977,27.66690009,30.87203825,1.72,44.21,25.7253,,,,0.785034,47.390621,60.36760319,0.12379,0.0185,0.14229,0.37934,0.624901144,0.375098856,0.005194285,1682.588652,22.1274232,69.52136254,0.284980562,90950.73792,3757.911489,0.064916708,12941.3805,534.7132257,2.191885631,7.087283953,0.292833092,0.131508216
58,Fr,Soil,8,580,887,504,1.1296,0.3039,0.28239,0.08520,10.4376,122.5070423,24.99911473,28.03553801,2.345,44.015,18.7464,,,,0.855827,47.526848,55.53324212,0.13424,0.01791,0.15215,0.43454,0.649859622,0.350140378,0.007924186,1632.194231,18.53189847,58.22238115,0.179948653,91133.12288,3250.830885,0.099528392,13865.90465,494.6139191,1.528709523,7.593595096,0.270872902,0.113539787
59,Fr,Soil,9,764,969,442,0.9278,0.2519,0.22718,0.06754,8.8897,131.6212615,24.48535276,26.81222707,2.05,43.43,21.2202,,,,0.996692,47.326866,47.48394288,0.12469,0.01857,0.14326,0.37044,0.613270705,0.386729295,0.006085051,1690.881193,21.01637297,66.03167395,0.222632006,91054.45306,3555.825199,0.083411188,13044.46095,509.407518,1.717515411,7.143735457,0.278974544,0.124292428
60,Fr,Soil,10,847,1139,455,1.2440,0.1800,0.30817,0.04932,6.5061,131.9160584,24.77250804,27.4,2.22,44.13,19.9083,,,,0.798403,46.938095,58.78997824,0.12538,0.02134,0.14672,0.45489,0.677460485,0.322539515,0.008012791,1521.2696,19.68402343,61.84203097,0.235435314,71287.23526,2897.939596,0.090640608,10459.26316,425.1856975,1.618700528,5.727964489,0.232850875,0.129392078
